Galaxy   Type   mFUV   mFUVhi mFUVlo mNUV   mNUVhi mNUVlo m36    m36hi  m36lo  BTUV  BT36  DTUV  DT36  DT36B DT36D DTFB  DTFV  DTNB  DTND   MBH   MBHlo  MBHhi
NGC3642  Sbc    13.25  +0.44  -0.44  13.12  +0.39  -0.39  11.51  +0.42  -0.42  0.03  0.14  0.95  0.80  0.12  0.04  1.21  0.55  1.21  0.55   7.42  -7.42  +0.04
NGC4041  Sbc    13.45  +0.36  -0.36  12.96  +0.36  -0.36  10.73  +0.35  -0.35  0.03  0.14  0.95  0.80  0.12  0.04  1.28  0.61  1.28  0.61   6.00  -6.00  +0.20
NGC4051  SABb   12.89  +0.36  -0.36  12.40  +0.36  -0.36   9.97  +0.34  -0.34  0.03  0.15  0.96  0.80  0.13  0.04  1.26  0.59  1.27  0.59   6.10  -0.25  +0.25
NGC4088  SABc   12.92  +0.37  -0.37  12.31  +0.37  -0.37   9.72  +0.35  -0.35   NA   0.02  0.98  0.98  0.32  0.11  NA    1.08  NA    1.08   6.79  -6.79  +0.29
NGC4151  SBab   13.16  +0.36  -0.36  13.02  +0.36  -0.36  10.03  +0.35  -0.35  0.22  0.44  0.78  0.56  0.14  0.05  1.39  0.71  1.39  0.71   7.81  -0.08  +0.08
NGC4203  E-S0   15.55  +0.37  -0.37  14.44  +0.36  -0.36   9.96  +0.33  -0.33  1.0   1.00   NA    NA   0.11  0.04  1.20  NA    1.20  NA     7.82  -0.26  +0.26
NGC4212  Sc     14.08  +0.36  -0.36  13.42  +0.36  -0.36  10.71  +0.34  -0.34   NA   0.04  0.96  0.96  0.18  0.06  NA    0.82  NA    0.82   5.99  -5.99  +0.42
NGC4245  SB0-a  16.20  +0.36  -0.36  15.14  +0.37  -0.37  10.99  +0.34  -0.34  0.11  0.18  0.82  0.70  0.13  0.05  1.32  0.64  1.32  0.64   7.19  -7.19  +0.48
NGC4258  SBbc   11.10  +0.36  -0.36  10.69  +0.36  -0.36   7.89  +0.35  -0.35   NA   0.07  0.96  0.96  0.32  0.10  NA    1.02  NA    1.02   7.58  -0.03  +0.03
NGC4278  E1-2   16.00  +0.24  -0.24  14.99  +0.24  -0.24   9.79  +0.22  -0.22  0.65  0.71   NA    NA   0.01  NA    0.25  NA    0.26  NA     7.96  -0.27  +0.27
NGC4314  SBa    15.16  +0.35  -0.35  14.27  +0.35  -0.35  10.34  +0.34  -0.34  0.08  0.17  0.79  0.57  0.12  0.05  1.32  0.67  1.33  0.67   6.91  -6.91  +0.30
NGC4321  SABb   12.17  +0.36  -0.36  11.56  +0.36  -0.36   8.99  +0.34  -0.34   NA   0.10  0.90  0.90  0.12  0.05  NA    0.67  NA    0.67   6.67  -6.67  +0.17
NGC4371  SB0-a  16.90  +0.54  -0.54  15.54  +0.36  -0.36  10.44  +0.32  -0.32  0.16  0.23  0.74  0.62  0.12  0.05  1.41  0.76  1.41  0.76   6.84  -0.07  +0.07
NGC4374  E1     15.77  +0.24  -0.24  14.31  +0.23  -0.23   8.74  +0.22  -0.22  0.60  0.65   NA    NA   0.01  NA    0.35  NA    0.35  NA     8.97  -0.05  +0.05
NGC4388  SBb    13.42  +0.35  -0.35  12.60  +0.36  -0.36  10.11  +0.34  -0.34  0.06  0.16  0.94  0.84  0.56  0.24  1.97  1.84  1.97  1.85   6.86  -0.04  +0.04
NGC4472  E2     14.78  +0.21  -0.21  13.60  +0.22  -0.22   7.91  +0.20  -0.20  0.58  0.63   NA    NA   0.01  NA    0.19  NA    0.19  NA     9.40  -0.04  +0.04
NGC4501  Sb     13.04  +0.35  -0.35  12.27  +0.35  -0.35   8.76  +0.39  -0.39   NA   0.06  0.94  0.94  0.21  0.07  NA    0.92  NA    0.93   7.30  -0.08  +0.08
NGC4548  SBb    14.07  +0.37  -0.37  13.48  +0.36  -0.36   9.82  +0.35  -0.35  0.03  0.12  0.93  0.78  0.13  0.05  1.45  0.78  1.46  0.79   7.25  -0.29  +0.29
NGC4593  SBb    14.26  +0.37  -0.37  13.66  +0.38  -0.38  10.74  +0.36  -0.36  0.10  0.16  0.81  0.61  0.13  0.05  1.36  0.69  1.37  0.69   6.86  -0.21  +0.21
NGC4594  Sa     13.35  +0.36  -0.36  11.86  +0.37  -0.37   7.20  +0.35  -0.35  0.49  0.83  0.51  0.17  0.31  0.10  1.84  1.27  1.84  1.28   8.82  -0.05  +0.05
NGC4596  SB0-a  16.72  +0.36  -0.36  15.29  +0.35  -0.35  10.06  +0.32  -0.32  0.13  0.19  0.77  0.65  0.13  0.05  1.32  0.64  1.32  0.65   7.89  -0.26  +0.26
NGC4698  Sab    14.89  +0.38  -0.38  13.84  +0.36  -0.36  10.08  +0.35  -0.35  0.22  0.44  0.78  0.56  0.17  0.05  1.43  0.74  1.43  0.75   7.76  -0.16  +0.16
NGC4736  Sab    11.51  +0.36  -0.36  11.07  +0.36  -0.36   8.01  +0.34  -0.34  0.24  0.42  0.54  0.21  0.12  0.04  1.27  0.61  1.28  0.61   6.78  -0.12  +0.12
NGC4800  Sb     14.64  +0.34  -0.34  13.96  +0.35  -0.35  10.94  +0.34  -0.34  0.04  0.17  0.95  0.80  0.13  0.05  1.28  0.60  1.28  0.61   7.02  -7.02  +0.53
NGC4826  SABa   12.94  +0.36  -0.36  11.90  +0.36  -0.36   7.91  +0.34  -0.34  0.12  0.28  0.87  0.68  0.21  0.07  1.62  0.96  1.63  0.96   6.05  -0.13  +0.13
NGC5005  SABb   14.11  +0.35  -0.35  13.12  +0.35  -0.35   9.17  +0.33  -0.33  0.06  0.15  0.88  0.69  0.24  0.07  1.44  0.81  1.45  0.81   8.27  -0.23  +0.23
NGC5018  E3     18.07  +0.63  -0.63  15.32  +0.25  -0.25  10.28  +0.27  -0.27  0.83  0.88   NA    NA   0.02  NA    0.79  NA    0.80  NA     8.02  -0.08  +0.08
NGC5055  Sbc    11.89  +0.36  -0.36  11.23  +0.36  -0.36   7.97  +0.34  -0.34  0.03  0.17  0.97  0.81  0.19  0.06  1.40  0.73  1.40  0.73   8.92  -0.10  +0.10
NGC5194  SABb   10.60  +0.35  -0.35  10.04  +0.34  -0.34   7.49  +0.32  -0.32   NA   0.10  0.87  0.88  0.17  0.06  NA    0.83  NA    0.83   5.96  -5.96  +0.36
NGC5248  SBb    12.86  +0.36  -0.36  12.43  +0.36  -0.36   9.65  +0.33  -0.33  0.05  0.20  0.95  0.80  0.14  0.05  1.37  0.69  1.37  0.69   6.30  -0.38  +0.38
NGC5273  S0     17.46  +0.36  -0.36  15.77  +0.36  -0.36  11.24  +0.34  -0.34   NA   0.09  0.99  0.91  0.11  0.04  NA    0.53  NA    0.53   6.61  -0.27  +0.27
NGC5347  SBab   15.27  +0.37  -0.37  14.89  +0.38  -0.38  11.99  +0.34  -0.34  0.17  0.33  0.80  0.59  0.13  0.05  1.31  0.64  1.32  0.64   7.21  -7.21  +0.42
NGC5427  SABc   13.59  +0.37  -0.37  13.04  +0.37  -0.37  10.99  +0.35  -0.35   NA   0.10  0.90  0.90  0.12  0.05  NA    0.68  NA    0.69   7.58  -7.58  +0.30
NGC5457  SABc    9.65  +0.64  -0.64   9.43  +0.63  -0.63   7.76  +0.61  -0.61   NA   0.05  0.95  0.95  0.11  0.04  NA    0.53  NA    0.53   6.41  -6.41  +0.08
NGC5576  E3     17.35  +0.26  -0.26  15.43  +0.24  -0.24  10.42  +0.23  -0.23  0.69  0.74   NA    NA   0.01  NA    0.25  NA    0.26  NA     8.44  -0.13  +0.13
NGC5728  SBa    14.75  +0.40  -0.40  14.20  +0.38  -0.38  10.99  +0.38  -0.38  0.12  0.26  0.72  0.39  0.20  0.07  2.09  1.41  2.10  1.42   8.05  -0.29  +0.29
NGC5846  E0-1   16.24  +0.26  -0.26  15.18  +0.25  -0.25   9.46  +0.21  -0.21  0.60  0.65   NA    NA   0.01  NA    0.46  NA    0.46  NA     9.04  -0.06  +0.06
NGC5879  SBbc   13.14  +0.35  -0.35  12.79  +0.35  -0.35  10.93  +0.34  -0.34  0.16  0.46  0.83  0.51  0.44  0.16  1.67  1.33  1.67  1.33   6.62  -6.62  +0.28
NGC5921  SBbc   13.23  +0.37  -0.37  12.76  +0.37  -0.37  10.80  +0.35  -0.35  0.01  0.11  0.99  0.83  0.13  0.05  1.45  0.78  1.45  0.79   7.07  -7.07  +0.42
NGC7418  SBc    13.35  +0.36  -0.36  12.94  +0.35  -0.35  10.82  +0.33  -0.33   NA   0.02  0.97  0.97  0.13  0.04  NA    0.61  NA    0.61   5.18  -5.18  +1.78
NGC7582  SBab   14.48  +0.36  -0.36  13.57  +0.36  -0.36   9.97  +0.34  -0.34  0.10  0.25  0.78  0.45  0.29  0.09  1.51  0.93  1.51  0.93   7.74  -0.20  +0.20
